gvkey,year,lobbying,elobbying,green_lobbying,brown_lobbying
001177,2016,4517500,2152500,0,112500
001177,2017,4007500,1527833.333333333,0,62500
001209,1999,700000,325333.3333333334,20000,0
001209,2000,820000,260952.380952381,34285.71428571428,0
001209,2001,635000,169285.7142857143,34285.71428571428,0
001209,2002,735000,334285.7142857143,34285.71428571428,0
001209,2003,990000,440000,80000,0
001209,2004,1070000,470000,100000,0
001209,2005,1135000,590000,73333.33333333333,116666.6666666667
001209,2006,1475000,720000,96000,104000
001209,2007,1300000,561333.3333333333,64000,117333.3333333333
001209,2008,2445000,1997238.095238095,135571.4285714286,76666.66666666666
001209,2009,2425000,2041857.142857143,177857.1428571428,54000
001209,2010,2135000,1787857.142857143,172857.1428571428,60000
001209,2011,445000,172857.1428571428,102857.1428571429,0
001209,2012,520000,200952.3809523809,129285.7142857143,0
001209,2013,710000,322857.1428571428,170357.1428571428,0
001209,2014,780000,355952.3809523809,130952.3809523809,65000
001209,2015,285000,210000,0,0
001209,2016,120000,120000,0,0
001209,2017,120000,120000,0,0
001209,2018,120000,120000,0,0
001209,2019,160000,160000,0,0
001209,2020,170000,170000,0,10000
001210,1999,5000,0,0,0
001210,2002,45000,0,0,0
001210,2003,50000,0,0,0
001210,2004,60000,0,0,0
001210,2005,40000,0,0,0
001210,2006,25000,0,0,0
001210,2007,25000,5000,0,0
001210,2008,40000,0,0,0
001210,2009,10000,0,0,0
001213,2001,65000,0,0,0
001213,2002,140000,0,0,0
001228,2006,320000,0,0,0
001228,2007,260000,0,0,0
001228,2008,80000,0,0,0
001230,1999,80000,0,0,0
001230,2000,80000,0,0,0
001230,2001,120000,0,0,0
001230,2002,80000,0,0,0
001230,2003,320000,0,0,0
001230,2004,640000,0,0,0
001230,2005,320000,160000,0,0
001230,2006,360000,0,0,0
001230,2007,500000,0,0,0
001230,2008,460000,110000,0,0
001230,2009,520000,290000,0,0
001230,2010,420000,0,0,0
001230,2011,530000,0,0,0
001230,2012,620000,0,0,0
001230,2013,720474,180000,0,0
001230,2014,860000,0,0,0
001230,2015,910000,0,0,0
001230,2016,1240000,0,0,0
001230,2017,1494000,0,0,0
001230,2018,1514000,170000,170000,0
001230,2019,1200000,0,0,0
001230,2020,1330000,38333.33333333333,38333.33333333333,0
001240,2000,45000,0,0,0
001240,2001,25000,0,0,0
001240,2002,65000,0,0,0
001240,2003,160000,0,0,0
001240,2004,180000,0,0,0
001240,2005,327500,0,0,0
001240,2006,120000,0,0,0
001254,2008,60000,0,0,0
001254,2009,40000,0,0,0
001254,2010,20000,0,0,0
001254,2011,20000,0,0,0
001254,2012,20000,0,0,0
001254,2013,20000,0,0,0
001254,2014,5000,0,0,0
001266,2006,120000,0,0,0
001266,2007,130000,35000,0,35000
001266,2008,50000,10000,0,0
001279,1999,550000,305000,0,0
001279,2000,600000,360000,0,0
001279,2001,900000,540000,0,0
001279,2002,550000,366000,0,0
001279,2003,665000,303571.4285714285,0,30000
001279,2004,459548,196949.1428571428,0,0
001279,2005,687985,303422.1428571428,0,5000
001279,2006,770000,470000,0,0
001279,2007,995000,741666.6666666667,0,0
001279,2008,500000,467142.8571428572,0,0
001279,2009,370000,370000,0,0
001279,2010,420000,394444.4444444444,0,0
001300,1999,265000,60000,0,0
001300,2000,2270000,705000,5000,0
001300,2001,3220000,905000,0,5000
001300,2002,3460000,990000,20000,0
001300,2003,5730000,1267529.411764706,0,0
001300,2004,5530000,1280111.111111111,0,0
001300,2005,5460000,1347282.913165266,0,13333.33333333333
